State,Year,1: Opportunity,1A: Poverty,1B: Employment,1C: Community basics,1Cii: Communications infrastructure,1D: Entrepreneurship,2: Health & Environment,2A: Physical health,2B: Mental and emotional health,2C: Environmental health,3: Freedom,3A: Political freedom,4: Community & Relationships,4A: Community life,4Aii: Religious Engagement,4B: Family life,4Bi: Prevalence of marriage,4Bii: Prevalence of divorce,5: Living Standard,5A: Current living standard,5Aii: Perceived current living standard,5B: Improvement in living standard,5Bii: Perceived improvement in living standard,6: Peace & Security,Summary Score
Ecuador,2009,6.399423093994601,6.2871498316407965,5.98257220081495,6.835435028434844,5.250174056869688,7.021958409082413,7.317929987989444,8.20308537271175,8.0090198598135,5.741684731443082,6.7091707607273205,3.7833333333333337,5.503092901715831,4.337420172797074,6.384840345594149,6.668765630634589,5.546939537780032,7.361577467736452,4.590571661333204,4.956903583869854,4.15,4.224239738796553,3.7,5.091795079560057,5.935330580886743
"Egypt, Arab Rep.",2009,5.822001819681961,6.496126743793793,3.093295663135685,5.4993555668350975,3.935874883670194,7.541231124645228,7.593699620660467,8.283419271720895,8.214795521806858,6.282884068453648,3.451089251884986,1.2333333333333334,6.136410661136749,4.9655821366926,7.371164273385199,7.3072391855808965,7.534527198208638,7.079951172953155,5.112863526982107,5.35126274060261,5.55,4.874464313361604,3.2,5.67117942239007,5.63120738378939
El Salvador,2009,6.512596238059871,5.979156124125351,5.092402182987751,6.952495760608633,5.494702521217266,7.698927122577618,6.848526424474173,8.391613472830958,8.17721039719678,3.976755403394781,7.065816089969887,4.866666666666667,5.824508291050886,4.724435970236853,7.138871940473706,6.924580611864919,3.7594885013426453,8.54144344914506,3.7478777625148236,4.5839275060599185,3.9,2.9118280189697283,1.7000000000000002,6.16011498675255,6.026573298803698
Estonia,2009,7.017237998855363,8.147021163366636,3.8208610497851963,9.778456582870799,9.577763983923418,7.669851198254183,6.887540984394953,9.066050375647636,6.055412344237716,5.541160233299508,7.723633012754176,5.6,3.1746307043477078,1.7382290704145775,1.356458140829155,4.611032338280838,4.023875931078973,2.075385412220534,3.4838512612708983,5.27849878554585,3.3,1.689203736995947,1.5,7.292947213220029,5.929973529140522
Ethiopia,2009,3.966071228784277,2.7225062374935134,5.877680504355464,2.0820612115919648,0.26452442318393016,5.378108190480441,4.459276140766067,5.459597069725214,6.561,1.3572313525729864,3.84,1.7666666666666668,5.292696070061325,5.337713683376164,8.555427366752326,5.2476784567464865,6.629913447537086,3.6677859225674845,4.540154713789039,3.0281377116713397,4.680000000000001,6.052171715906738,3.95,4.744782527616584,4.473830113502882
Finland,2009,8.191108641400366,10.0,4.842661713773908,10.0,10.0,8.792881493227924,8.286850294294005,9.452385731259627,7.058367562306311,8.349797589316076,8.608139355734817,6.1,4.220209864698889,2.976455234254238,1.9179104685084754,5.46396449514354,5.4595385797299585,2.2645570507101036,5.953833382635079,8.350801127258599,8.2,3.556865638011559,3.95,8.963638618649313,7.3706300262354105
France,2009,7.904814968862922,9.36195259237443,4.100789381149303,9.899941263381354,9.899941263381354,8.811391607409524,8.401705531746153,9.543402187802815,7.324471066978982,8.33724334045666,7.324177951188096,6.25,4.02050735254277,2.5096145459550145,2.3292290919100296,5.531400159130525,4.322802189649964,3.5384978738926325,4.365649692038874,6.158675479594366,3.9,2.572623904483382,1.6,7.998534014348017,6.669231585121139
Georgia,2009,5.845192831150244,5.092949697880917,3.4727799341260104,7.0489296284270395,4.126392701298524,7.461304895317251,6.397180877561563,7.143147677210807,6.692638785046943,5.355756170426935,5.7,3.5,5.5427345029036985,3.470652302597829,5.041304605195658,7.614816703209568,6.370337428765282,8.21738190006365,4.069676029426635,3.375340004427315,2.1,4.7640120544259545,3.65,6.661180052404492,5.702660715574439
Germany,2009,8.162254164614623,10.0,4.749344326617799,10.0,10.0,8.391926496455314,8.558418594951563,9.439301030429082,7.886157165109533,8.349797589316076,7.47428670655801,6.3,5.233520472419387,3.864223533140365,3.28844706628073,6.602817411698409,5.503559463186324,4.5719764391648905,5.619395478601824,7.630243038970423,6.65,3.6085479182332234,3.25,8.463284761508106,7.251860029775585
Ghana,2009,5.90991836323919,3.764816977366343,6.598404716616166,5.193738988719515,3.37376607743903,8.642631133493927,5.955946983597738,7.468066282039427,8.309999999999999,2.0897746687537913,7.011644849087799,7.3,6.074363372243232,6.112072962659791,8.564145925319583,6.036653781826673,6.735569438732896,8.680788733868225,3.6824713822265362,2.996082688999602,3.55,4.368860075453471,2.7,6.701177438533036,5.889253731487922
Greece,2009,7.042855891073669,8.229631974807521,3.7457285030469247,9.076373264612936,8.44871532922587,8.132545712900967,8.433185916285952,9.44292944917742,8.192812422118541,7.663815877561892,6.145554888963718,6.3,4.768131359024723,2.9335316634916357,4.507063326983271,6.602731054557811,5.730155586422338,7.240967362037701,4.355784835543973,6.093465052425126,4.05,2.6181046186628207,1.4000000000000001,6.804147873659784,6.25827679409197
Grenada,2009,7.318918652530687,,4.497290306056338,8.51205748055214,7.424114961104281,8.947408170983582,6.807591634221388,8.000248999661997,,5.614934268780779,9.444444444444445,10.0,5.421384175723057,,,5.421384175723057,3.6206592348357467,7.222109116610368,5.030230179762161,6.2124453320914546,,3.8480150274328677,,6.622201571350955,6.774128443005449
Guatemala,2009,6.498625203376572,5.313849155003486,6.566457852727099,6.331175019479685,5.22674692784826,7.611643989672594,6.545095559820777,7.106888521956311,8.534745249221432,3.993652908284588,6.242172668695433,2.75,6.316604411960567,5.904397980709321,7.508795961418642,6.728810843211813,4.311604759016149,9.08571728575787,4.13631429093162,4.519711432660226,4.3999999999999995,3.7529171492030136,3.0,5.611017650945183,5.891638297621692
Guinea,2009,4.474236699796438,2.7222643235875337,7.134092742315692,2.241193132787666,1.8888082655753327,6.7086333002912975,5.530843234744037,6.22590250267269,8.345,2.02162720155942,4.979166666666667,0.9500000000000001,6.413341087886751,6.040528717135748,8.336057434271497,6.786153458637753,7.131779405717184,8.680788733868225,3.345460915653233,2.2587070627642385,2.95,4.432214768542227,5.1,4.996322430227714,4.9565618391624735
Guyana,2009,6.005787746438036,5.7665088684703525,4.124031946515133,6.055812850670968,3.6122247013419346,7.752585066533727,6.8000677264489005,7.682049864636021,8.39,4.328153314710678,6.8939689576720635,4.316666666666667,5.566168641343014,5.326179054731604,6.142358109463208,5.806158227954423,4.862169973328936,7.361577467736452,3.8343692284431112,3.96977915771721,4.300000000000001,3.6989592991690126,3.45,5.859701334042842,5.826677272397995
